t,x,y,z,Ox,Oy,Oz,q0,q1,q2,q3,vx, vy, vz, T_trans, T_rot, U_gr, U_em, E, q_norm,Frx, Fry, Frz, Fdx, Fdy, Fdz, Fextx, Fexty, Fextz
1.100000000e-03,0.000000000e+00,-1.213027908e-07,0.000000000e+00,3.498934137e-02,0.000000000e+00,0.000000000e+00,9.999999999e-01,1.213007482e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.749467068e-04,-0.000000000e+00,6.121270047e-11,2.448508019e-11,0.000000000e+00,-4.925021105e-05,-4.925012535e-05,1.000000000e+00,0.000000000e+00,-1.372372976e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.372372976e-03,0.000000000e+00
1.200000000e-03,0.000000000e+00,-1.391106847e-07,0.000000000e+00,3.621364510e-02,0.000000000e+00,0.000000000e+00,9.999999999e-01,1.391085706e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.810682255e-04,-0.000000000e+00,6.557140457e-11,2.622856183e-11,0.000000000e+00,-4.925024203e-05,-4.925015023e-05,1.000000000e+00,0.000000000e+00,-1.420383021e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.420383021e-03,0.000000000e+00
1.300000000e-03,0.000000000e+00,-1.574897673e-07,0.000000000e+00,3.727783246e-02,0.000000000e+00,0.000000000e+00,9.999999999e-01,1.574875911e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.863891623e-04,-0.000000000e+00,6.948183963e-11,2.779273585e-11,0.000000000e+00,-4.925027400e-05,-4.925017673e-05,1.000000000e+00,0.000000000e+00,-1.462113374e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.462113374e-03,0.000000000e+00
1.400000000e-03,0.000000000e+00,-1.763653335e-07,0.000000000e+00,3.820282721e-02,0.000000000e+00,0.000000000e+00,9.999999998e-01,1.763631032e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.910141360e-04,-0.000000000e+00,7.297280033e-11,2.918912013e-11,0.000000000e+00,-4.925030684e-05,-4.925020468e-05,1.000000000e+00,0.000000000e+00,-1.498384847e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.498384847e-03,0.000000000e+00
1.500000000e-03,0.000000000e+00,-1.956724404e-07,0.000000000e+00,3.900681827e-02,0.000000000e+00,0.000000000e+00,9.999999998e-01,1.956701631e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.950340913e-04,-0.000000000e+00,7.607659356e-11,3.043063742e-11,0.000000000e+00,-4.925034043e-05,-4.925023392e-05,1.000000000e+00,0.000000000e+00,-1.529910927e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.529910927e-03,0.000000000e+00
1.600000000e-03,0.000000000e+00,-2.153546313e-07,0.000000000e+00,3.970561727e-02,0.000000000e+00,0.000000000e+00,9.999999998e-01,2.153523131e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.985280864e-04,-0.000000000e+00,7.882680216e-11,3.153072086e-11,0.000000000e+00,-4.925037467e-05,-4.925026431e-05,1.000000000e+00,0.000000000e+00,-1.557311818e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.557311818e-03,0.000000000e+00
1.700000000e-03,0.000000000e+00,-2.353628265e-07,0.000000000e+00,4.031296941e-02,0.000000000e+00,0.000000000e+00,9.999999997e-01,2.353604729e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.015648470e-04,-0.000000000e+00,8.125677511e-11,3.250271005e-11,0.000000000e+00,-4.925040947e-05,-4.925029571e-05,1.000000000e+00,0.000000000e+00,-1.581126640e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.581126640e-03,0.000000000e+00
1.800000000e-03,0.000000000e+00,-2.556543597e-07,0.000000000e+00,4.084082351e-02,0.000000000e+00,0.000000000e+00,9.999999997e-01,2.556519752e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.042041176e-04,-0.000000000e+00,8.339864327e-11,3.335945731e-11,0.000000000e+00,-4.925044477e-05,-4.925032801e-05,1.000000000e+00,0.000000000e+00,-1.601824036e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.601824036e-03,0.000000000e+00
1.900000000e-03,0.000000000e+00,-2.761921391e-07,0.000000000e+00,4.129956696e-02,0.000000000e+00,0.000000000e+00,9.999999996e-01,2.761897278e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.064978348e-04,-0.000000000e+00,8.528271154e-11,3.411308461e-11,0.000000000e+00,-4.925048049e-05,-4.925036110e-05,1.000000000e+00,0.000000000e+00,-1.619811391e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.619811391e-03,0.000000000e+00
2.000000000e-03,0.000000000e+00,-2.969439197e-07,0.000000000e+00,4.169822969e-02,0.000000000e+00,0.000000000e+00,9.999999996e-01,2.969414850e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.084911485e-04,-0.000000000e+00,8.693711797e-11,3.477484719e-11,0.000000000e+00,-4.925051659e-05,-4.925039488e-05,1.000000000e+00,0.000000000e+00,-1.635442840e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.635442840e-03,0.000000000e+00
2.100000000e-03,0.000000000e+00,-3.178816694e-07,0.000000000e+00,4.204466171e-02,0.000000000e+00,0.000000000e+00,9.999999995e-01,3.178792144e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.102233085e-04,-0.000000000e+00,8.838767890e-11,3.535507156e-11,0.000000000e+00,-4.925055301e-05,-4.925042927e-05,1.000000000e+00,0.000000000e+00,-1.649026233e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.649026233e-03,0.000000000e+00
2.200000000e-03,0.000000000e+00,-3.389810186e-07,0.000000000e+00,4.234568724e-02,0.000000000e+00,0.000000000e+00,9.999999994e-01,3.389785460e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.117284362e-04,-0.000000000e+00,8.965786138e-11,3.586314455e-11,0.000000000e+00,-4.925058971e-05,-4.925046419e-05,1.000000000e+00,0.000000000e+00,-1.660829183e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.660829183e-03,0.000000000e+00
2.300000000e-03,0.000000000e+00,-3.602207819e-07,0.000000000e+00,4.260723882e-02,0.000000000e+00,0.000000000e+00,9.999999994e-01,3.602182940e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.130361941e-04,-0.000000000e+00,9.076883998e-11,3.630753599e-11,0.000000000e+00,-4.925062665e-05,-4.925049958e-05,1.000000000e+00,0.000000000e+00,-1.671084334e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.671084334e-03,0.000000000e+00
2.400000000e-03,0.000000000e+00,-3.815825417e-07,0.000000000e+00,4.283447382e-02,0.000000000e+00,0.000000000e+00,9.999999993e-01,3.815800405e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.141723691e-04,-0.000000000e+00,9.173960736e-11,3.669584295e-11,0.000000000e+00,-4.925066381e-05,-4.925053537e-05,1.000000000e+00,0.000000000e+00,-1.679993922e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.679993922e-03,0.000000000e+00
2.500000000e-03,0.000000000e+00,-4.030502868e-07,0.000000000e+00,4.303187575e-02,0.000000000e+00,0.000000000e+00,9.999999992e-01,4.030477739e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.151593787e-04,-0.000000000e+00,9.258711651e-11,3.703484660e-11,0.000000000e+00,-4.925070114e-05,-4.925057152e-05,1.000000000e+00,0.000000000e+00,-1.687733760e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.687733760e-03,0.000000000e+00
2.600000000e-03,0.000000000e+00,-4.246100977e-07,0.000000000e+00,4.320334230e-02,0.000000000e+00,0.000000000e+00,9.999999991e-01,4.246075748e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.160167115e-04,-0.000000000e+00,9.332643929e-11,3.733057572e-11,0.000000000e+00,-4.925073864e-05,-4.925060798e-05,1.000000000e+00,0.000000000e+00,-1.694456683e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.694456683e-03,0.000000000e+00
2.700000000e-03,0.000000000e+00,-4.462498737e-07,0.000000000e+00,4.335226191e-02,0.000000000e+00,0.000000000e+00,9.999999990e-01,4.462473420e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.167613096e-04,-0.000000000e+00,9.397093065e-11,3.758837226e-11,0.000000000e+00,-4.925077627e-05,-4.925064471e-05,1.000000000e+00,0.000000000e+00,-1.700295557e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.700295557e-03,0.000000000e+00
2.800000000e-03,0.000000000e+00,-4.679590949e-07,0.000000000e+00,4.348158031e-02,0.000000000e+00,0.000000000e+00,9.999999989e-01,4.679565556e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.174079016e-04,-0.000000000e+00,9.453239132e-11,3.781295653e-11,0.000000000e+00,-4.925081403e-05,-4.925068168e-05,1.000000000e+00,0.000000000e+00,-1.705365887e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.705365887e-03,0.000000000e+00
2.900000000e-03,0.000000000e+00,-4.897286158e-07,0.000000000e+00,4.359385835e-02,0.000000000e+00,0.000000000e+00,9.999999988e-01,4.897260699e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.179692918e-04,-0.000000000e+00,9.502122429e-11,3.800848972e-11,0.000000000e+00,-4.925085189e-05,-4.925071886e-05,1.000000000e+00,0.000000000e+00,-1.709768086e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.709768086e-03,0.000000000e+00
3.000000000e-03,0.000000000e+00,-5.115504859e-07,0.000000000e+00,4.369132230e-02,0.000000000e+00,0.000000000e+00,9.999999987e-01,5.115479341e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.184566115e-04,-0.000000000e+00,9.544658223e-11,3.817863289e-11,0.000000000e+00,-4.925088984e-05,-4.925075621e-05,1.000000000e+00,0.000000000e+00,-1.713589444e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.713589444e-03,0.000000000e+00
3.100000000e-03,0.000000000e+00,-5.334177931e-07,0.000000000e+00,4.377590758e-02,0.000000000e+00,0.000000000e+00,9.999999986e-01,5.334152363e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.188795379e-04,-0.000000000e+00,9.581650422e-11,3.832660169e-11,0.000000000e+00,-4.925092786e-05,-4.925079372e-05,1.000000000e+00,0.000000000e+00,-1.716905850e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.716905850e-03,0.000000000e+00
3.200000000e-03,0.000000000e+00,-5.553245286e-07,0.000000000e+00,4.384929673e-02,0.000000000e+00,0.000000000e+00,9.999999985e-01,5.553219675e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.192464836e-04,-0.000000000e+00,9.613804118e-11,3.845521647e-11,0.000000000e+00,-4.925096596e-05,-4.925083136e-05,1.000000000e+00,0.000000000e+00,-1.719783275e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.719783275e-03,0.000000000e+00
3.300000000e-03,0.000000000e+00,-5.772654686e-07,0.000000000e+00,4.391295248e-02,0.000000000e+00,0.000000000e+00,9.999999983e-01,5.772629037e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.195647624e-04,-0.000000000e+00,9.641736977e-11,3.856694791e-11,0.000000000e+00,-4.925100411e-05,-4.925086912e-05,1.000000000e+00,0.000000000e+00,-1.722279072e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.722279072e-03,0.000000000e+00
3.400000000e-03,0.000000000e+00,-5.992360717e-07,0.000000000e+00,4.396814646e-02,0.000000000e+00,0.000000000e+00,9.999999982e-01,5.992335034e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.198407323e-04,-0.000000000e+00,9.665989514e-11,3.866395805e-11,0.000000000e+00,-4.925104231e-05,-4.925090699e-05,1.000000000e+00,0.000000000e+00,-1.724443099e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.724443099e-03,0.000000000e+00
3.500000000e-03,0.000000000e+00,-6.212323898e-07,0.000000000e+00,4.401598415e-02,0.000000000e+00,0.000000000e+00,9.999999981e-01,6.212298187e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.200799207e-04,-0.000000000e+00,9.687034302e-11,3.874813721e-11,0.000000000e+00,-4.925108056e-05,-4.925094494e-05,1.000000000e+00,0.000000000e+00,-1.726318701e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.726318701e-03,0.000000000e+00
3.600000000e-03,0.000000000e+00,-6.432509907e-07,0.000000000e+00,4.405742661e-02,0.000000000e+00,0.000000000e+00,9.999999979e-01,6.432484170e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.202871331e-04,-0.000000000e+00,9.705284199e-11,3.882113680e-11,0.000000000e+00,-4.925111884e-05,-4.925098297e-05,1.000000000e+00,0.000000000e+00,-1.727943559e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.727943559e-03,0.000000000e+00
3.700000000e-03,0.000000000e+00,-6.652888904e-07,0.000000000e+00,4.409330936e-02,0.000000000e+00,0.000000000e+00,9.999999978e-01,6.652863145e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.204665468e-04,-0.000000000e+00,9.721099652e-11,3.888439861e-11,0.000000000e+00,-4.925115716e-05,-4.925102107e-05,1.000000000e+00,0.000000000e+00,-1.729350434e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.729350434e-03,0.000000000e+00
3.800000000e-03,0.000000000e+00,-6.873434950e-07,0.000000000e+00,4.412435874e-02,0.000000000e+00,0.000000000e+00,9.999999976e-01,6.873409172e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.206217937e-04,-0.000000000e+00,9.734795169e-11,3.893918068e-11,0.000000000e+00,-4.925119551e-05,-4.925105922e-05,1.000000000e+00,0.000000000e+00,-1.730567803e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.730567803e-03,0.000000000e+00
3.900000000e-03,0.000000000e+00,-7.094125493e-07,0.000000000e+00,4.415120619e-02,0.000000000e+00,0.000000000e+00,9.999999975e-01,7.094099698e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.207560310e-04,-0.000000000e+00,9.746645041e-11,3.898658017e-11,0.000000000e+00,-4.925123388e-05,-4.925109742e-05,1.000000000e+00,0.000000000e+00,-1.731620424e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.731620424e-03,0.000000000e+00
4.000000000e-03,0.000000000e+00,-7.314940928e-07,0.000000000e+00,4.417440069e-02,0.000000000e+00,0.000000000e+00,9.999999973e-01,7.314915118e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.208720034e-04,-0.000000000e+00,9.756888381e-11,3.902755352e-11,0.000000000e+00,-4.925127227e-05,-4.925113567e-05,1.000000000e+00,0.000000000e+00,-1.732529822e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.732529822e-03,0.000000000e+00
4.100000000e-03,0.000000000e+00,-7.535864211e-07,0.000000000e+00,4.419441946e-02,0.000000000e+00,0.000000000e+00,9.999999972e-01,7.535838388e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.209720973e-04,-0.000000000e+00,9.765733558e-11,3.906293423e-11,0.000000000e+00,-4.925131068e-05,-4.925117396e-05,1.000000000e+00,0.000000000e+00,-1.733314707e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.733314707e-03,0.000000000e+00
4.200000000e-03,0.000000000e+00,-7.756880524e-07,0.000000000e+00,4.421167741e-02,0.000000000e+00,0.000000000e+00,9.999999970e-01,7.756854690e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.210583870e-04,-0.000000000e+00,9.773362096e-11,3.909344838e-11,0.000000000e+00,-4.925134910e-05,-4.925121227e-05,1.000000000e+00,0.000000000e+00,-1.733991347e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.733991347e-03,0.000000000e+00
4.300000000e-03,0.000000000e+00,-7.977976987e-07,0.000000000e+00,4.422653521e-02,0.000000000e+00,0.000000000e+00,9.999999968e-01,7.977951143e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.211326760e-04,-0.000000000e+00,9.779932083e-11,3.911972833e-11,0.000000000e+00,-4.925138754e-05,-4.925125062e-05,1.000000000e+00,0.000000000e+00,-1.734573883e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.734573883e-03,0.000000000e+00
4.400000000e-03,0.000000000e+00,-8.199142401e-07,0.000000000e+00,4.423930643e-02,0.000000000e+00,0.000000000e+00,9.999999966e-01,8.199116548e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.211965322e-04,-0.000000000e+00,9.785581168e-11,3.914232467e-11,0.000000000e+00,-4.925142598e-05,-4.925128899e-05,1.000000000e+00,0.000000000e+00,-1.735074609e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.735074609e-03,0.000000000e+00
4.500000000e-03,0.000000000e+00,-8.420367030e-07,0.000000000e+00,4.425026368e-02,0.000000000e+00,0.000000000e+00,9.999999965e-01,8.420341169e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.212513184e-04,-0.000000000e+00,9.790429179e-11,3.916171672e-11,0.000000000e+00,-4.925146444e-05,-4.925132737e-05,1.000000000e+00,0.000000000e+00,-1.735504214e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.735504214e-03,0.000000000e+00
4.600000000e-03,0.000000000e+00,-8.641642411e-07,0.000000000e+00,4.425964394e-02,0.000000000e+00,0.000000000e+00,9.999999963e-01,8.641616543e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.212982197e-04,-0.000000000e+00,9.794580408e-11,3.917832163e-11,0.000000000e+00,-4.925150291e-05,-4.925136578e-05,1.000000000e+00,0.000000000e+00,-1.735871990e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.735871990e-03,0.000000000e+00
4.700000000e-03,0.000000000e+00,-8.862961186e-07,0.000000000e+00,4.426765324e-02,0.000000000e+00,0.000000000e+00,9.999999961e-01,8.862935312e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.213382662e-04,-0.000000000e+00,9.798125615e-11,3.919250246e-11,0.000000000e+00,-4.925154138e-05,-4.925140420e-05,1.000000000e+00,0.000000000e+00,-1.736186013e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.736186013e-03,0.000000000e+00
4.800000000e-03,0.000000000e+00,-9.084316958e-07,0.000000000e+00,4.427447068e-02,0.000000000e+00,0.000000000e+00,9.999999959e-01,9.084291079e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.213723534e-04,-0.000000000e+00,9.801143770e-11,3.920457508e-11,0.000000000e+00,-4.925157985e-05,-4.925144264e-05,1.000000000e+00,0.000000000e+00,-1.736453307e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.736453307e-03,0.000000000e+00
4.900000000e-03,0.000000000e+00,-9.305704167e-07,0.000000000e+00,4.428025198e-02,0.000000000e+00,0.000000000e+00,9.999999957e-01,9.305678282e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.214012599e-04,-0.000000000e+00,9.803703577e-11,3.921481431e-11,0.000000000e+00,-4.925161834e-05,-4.925148108e-05,1.000000000e+00,0.000000000e+00,-1.736679977e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.736679977e-03,0.000000000e+00
5.000000000e-03,0.000000000e+00,-9.527117978e-07,0.000000000e+00,4.428513251e-02,0.000000000e+00,0.000000000e+00,9.999999955e-01,9.527092089e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.214256625e-04,-0.000000000e+00,9.805864806e-11,3.922345922e-11,0.000000000e+00,-4.925165682e-05,-4.925151954e-05,1.000000000e+00,0.000000000e+00,-1.736871330e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.736871330e-03,0.000000000e+00
